Time,CPU_usec_used,Memory_Bytes,Energy_uJ,inference_time_sec
1751287500,725029941,950534144,16823015282,0.713183403015137
1751287501,725340070,951492608,16829537787,0.878300666809082
1751287502,725642826,951963648,16835960806,0.720247268676758
1751287503,725942729,953262080,16842615330,0.792909383773804
1751287504,726242274,953978880,16849350359,0.801982164382935
1751287505,726542235,954744832,16856746580,0.795888423919678
1751287506,726842831,956026880,16863943156,0.789599895477295
1751287507,727150650,956690432,16870537499,0.714370250701904
1751287508,727459460,957382656,16878170475,0.717819452285767
1751287509,727767479,958853120,16885885238,0.706939935684204
1751287510,728072564,959418368,16893330959,0.719732284545898
1751287512,728372832,960114688,16899365917,0.801433801651001
1751287513,728672866,960925696,16905578059,0.883913278579712
1751287514,728972804,962187264,16911941812,0.792863845825195
1751287515,729272169,962871296,16918138085,0.802672147750855
1751287516,729581523,963571712,16924411934,0.802216291427612
1751287517,729889770,964255744,16930926139,0.794411182403564
1751287518,730198574,965779456,16938363192,0.795643329620361
1751287519,730502583,966279168,16945139481,0.711153030395508
1751287520,730802483,966004736,16951425903,0.792880535125732
1751287521,731102829,966742016,16957398910,0.789377927780151
1751287522,731402507,967405568,16962988557,0.705007791519165
1751287523,731702914,968769536,16969944838,0.711955070495606
1751287524,732011233,969543680,16977542902,0.795951128005981
1751287525,732320313,970129408,16984961218,0.792204141616821
1751287526,732628471,971706368,16991516132,0.806552886962891
1751287527,732932958,972156928,16997479862,0.882249593734741
1751287528,733233068,972967936,17003523426,0.803417921066284
1751287529,733533136,973574144,17009888522,0.789441347122192
1751287530,733832391,974352384,17016255815,0.719698905944824
1751287531,734132434,975626240,17022553529,0.793891906738281
1751287532,734447022,976310272,17028665757,0.795012712478638
1751287533,734757379,977063936,17035130950,0.881605863571167
1751287534,735062253,977727488,17041222426,0.720263242721558
1751287535,735362766,979058688,17048244625,0.796085596084595
1751287536,735662452,979722240,17055781288,0.878805637359619
1751287537,735962427,980402176,17063208088,0.798779249191284
1751287538,736262211,981123072,17070640991,0.717393159866333
1751287539,736569589,982425600,17078239726,0.795739412307739
1751287540,736877626,983130112,17084672754,0.792747974395752
1751287541,737187328,984068096,17091184212,0.790524005889893
1751287542,737492589,985149440,17097463249,0.806861162185669
1751287543,737792242,985829376,17103504676,0.79960823059082
1751287544,738092889,986509312,17109471580,0.796247720718384
1751287545,738393105,987226112,17115831976,0.894127368927002
1751287546,738692351,988139520,17122208242,0.80953574180603
1751287547,738999686,989241344,17128765720,0.873002529144287
1751287548,739310577,990187520,17134999347,0.718161106109619
1751287549,739620217,990629888,17141500917,0.805695772171021
1751287550,739922629,991367168,17147324144,0.789161682128906
1751287551,740222784,992837632,17153790009,0.794684410095215
1751287552,740522782,993341440,17160211623,0.797476053237915
1751287553,740822677,994037760,17167104733,0.885245323181152
1751287554,741122349,994721792,17174316690,0.798778295516968
1751287555,741431662,996069376,17182100911,0.713305950164795
1751287556,741740609,996990976,17189389039,0.78837513923645
1751287557,742051443,997695488,17195894638,0.802372932434082
1751287558,742352292,998813696,17203022488,0.798283576965332
1751287559,742652683,999493632,17210327889,0.810227394104004
1751287560,742952650,1000185856,17218216846,0.79088830947876
1751287561,743265886,1001738240,17225387726,0.802214622497559
1751287562,743575053,1002475520,17232058180,0.801534652709961
1751287563,743882814,1002917888,17238525998,0.801462411880493
1751287564,744182389,1003606016,17244509198,0.706147193908691
1751287565,744483079,1004953600,17251372401,0.800639152526856
1751287566,744786348,1005895680,17259073370,0.791242122650147
1751287567,745097477,1006669824,17266704393,0.721356868743897
1751287568,745407456,1007792128,17273701811,0.717707395553589
1751287569,745712722,1008619520,17280332898,0.78676700592041
1751287570,746012262,1009065984,17286301083,0.7159583568573
1751287571,746313083,1009770496,17292415448,0.796119928359985
1751287572,746612932,1011097600,17298831569,0.802732467651367
1751287573,746920086,1011777536,17305146860,0.794152975082397
1751287574,747231271,1012441088,17311499871,0.786971569061279
1751287575,747539538,1013899264,17317875710,0.70984959602356
1751287576,747842531,1014460416,17324228599,0.785250186920166
1751287577,748142580,1014206464,17330351325,0.712167978286743
1751287578,748442807,1014919168,17336555776,0.795156002044678
1751287579,748742895,1015607296,17342923863,0.806287527084351
1751287580,749042238,1016946688,17349824297,0.896314144134522
1751287581,749349560,1017872384,17357210265,0.800254583358765
1751287582,749659599,1018560512,17363853436,0.874881505966187
1751287583,749969710,1019695104,17370125820,0.71695613861084
1751287584,750272747,1020469248,17376413585,0.793889760971069
1751287586,750572285,1021054976,17382243831,0.793758630752564
1751287587,750872695,1021976576,17388798319,0.798037767410278
1751287588,751172859,1023336448,17395107873,0.800892114639282
1751287589,751472292,1023733760,17401485664,0.796254873275757
1751287590,751786051,1024663552,17407953360,0.801688194274902
