time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721423631.32947,500m,440m,1000Mi,350Mi,small,44.9,866.765022277832
1721423634.37956,500m,440m,1000Mi,350Mi,small,44.9,853.049278259277
1721423637.42173,500m,440m,1000Mi,350Mi,small,44.9,879.135131835938
1721423640.4669,500m,440m,1000Mi,350Mi,small,44.9,850.849866867065
1721423643.50219,500m,440m,1000Mi,350Mi,small,44.9,865.936279296875
1721423646.54292,500m,440m,1000Mi,350Mi,small,44.9,918.047428131104
1721423649.60578,500m,440m,1000Mi,350Mi,small,44.9,916.164398193359
1721423652.64311,500m,440m,1000Mi,350Mi,small,44.9,859.849214553833
1721423655.69032,500m,430m,1000Mi,350Mi,small,44.9,842.718839645386
1721423658.73243,500m,430m,1000Mi,350Mi,small,44.9,914.149284362793
1721423661.79265,500m,430m,1000Mi,350Mi,small,44.9,901.676893234253
1721423664.84039,500m,430m,1000Mi,350Mi,small,44.9,856.826066970825
1721423667.89816,500m,430m,1000Mi,350Mi,small,44.9,841.648817062378
1721423670.93934,500m,430m,1000Mi,350Mi,small,44.9,854.839086532593
1721423673.98506,500m,430m,1000Mi,350Mi,small,44.9,814.78762626648
1721423677.02826,500m,430m,1000Mi,350Mi,small,44.9,939.440250396729
1721423680.0659,500m,430m,1000Mi,350Mi,small,44.9,847.507953643799
1721423683.1069,500m,430m,1000Mi,350Mi,small,44.9,803.24387550354
1721423686.15639,500m,444m,1000Mi,347Mi,small,44.9,878.364324569702
1721423689.20117,500m,444m,1000Mi,347Mi,small,44.9,859.054088592529
1721423692.24172,500m,444m,1000Mi,347Mi,small,44.9,878.194332122803
1721423695.40043,500m,444m,1000Mi,347Mi,small,44.9,808.784008026123
1721423698.46108,500m,444m,1000Mi,347Mi,small,44.9,845.494031906128
1721423701.50358,500m,444m,1000Mi,347Mi,small,44.9,863.893032073975
1721423704.58396,500m,444m,1000Mi,347Mi,small,44.9,813.140869140625
1721423707.64027,500m,444m,1000Mi,347Mi,small,44.9,848.021507263184
1721423710.6989,500m,444m,1000Mi,347Mi,small,44.9,925.41766166687
1721423713.74286,500m,444m,1000Mi,347Mi,small,44.9,882.918119430542
1721423716.78481,500m,444m,1000Mi,350Mi,small,44.9,846.09842300415
1721423719.82941,500m,444m,1000Mi,350Mi,small,44.9,885.780572891235
1721423722.87659,500m,444m,1000Mi,350Mi,small,44.9,859.451055526733
1721423725.91073,500m,444m,1000Mi,350Mi,small,44.9,849.432945251465
1721423728.95118,500m,444m,1000Mi,350Mi,small,44.9,849.055051803589
1721423731.99652,500m,444m,1000Mi,350Mi,small,44.9,794.404745101929
1721423735.09409,500m,444m,1000Mi,350Mi,small,44.9,882.080078125
1721423738.13913,500m,444m,1000Mi,350Mi,small,44.9,858.203649520874
1721423741.50721,500m,444m,1000Mi,350Mi,small,44.9,792.222738265991
1721423744.5661,500m,412m,1000Mi,359Mi,small,44.9,849.046945571899
1721423747.67154,500m,412m,1000Mi,359Mi,small,44.9,916.627168655396
1721423750.72546,500m,412m,1000Mi,359Mi,small,44.9,846.116304397583
1721423753.76813,500m,412m,1000Mi,359Mi,small,44.9,807.772636413574
1721423756.80887,500m,412m,1000Mi,359Mi,small,44.9,854.398012161255
1721423759.85907,500m,412m,1000Mi,359Mi,small,44.9,863.608837127686
1721423762.90102,500m,412m,1000Mi,359Mi,small,44.9,868.875503540039
1721423765.94141,500m,412m,1000Mi,359Mi,small,44.9,1005.7258605957
1721423769.00492,500m,412m,1000Mi,359Mi,small,44.9,918.018817901611
1721423772.05197,500m,412m,1000Mi,359Mi,small,44.9,870.736122131348
1721423775.09066,500m,432m,1000Mi,347Mi,small,44.9,875.434637069702
1721423778.1275,500m,432m,1000Mi,347Mi,small,44.9,934.519767761231
1721423781.16711,500m,432m,1000Mi,347Mi,small,44.9,963.906526565552
1721423784.21449,500m,432m,1000Mi,347Mi,small,44.9,923.579692840576
1721423787.25789,500m,432m,1000Mi,347Mi,small,44.9,855.005979537964
1721423790.29994,500m,432m,1000Mi,347Mi,small,44.9,878.652095794678
1721423793.37852,500m,432m,1000Mi,347Mi,small,44.9,808.419466018677
