time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721411833.12241,500m,417m,1000Mi,287Mi,nano,37.3,368.488788604736
1721411836.17306,500m,359m,1000Mi,294Mi,nano,37.3,358.001708984375
1721411839.22091,500m,359m,1000Mi,294Mi,nano,37.3,407.421588897705
1721411842.28147,500m,359m,1000Mi,294Mi,nano,37.3,377.609491348267
1721411845.45092,500m,359m,1000Mi,294Mi,nano,37.3,330.370187759399
1721411848.49797,500m,359m,1000Mi,294Mi,nano,37.3,350.250005722046
1721411851.53448,500m,359m,1000Mi,294Mi,nano,37.3,413.70964050293
1721411854.59537,500m,359m,1000Mi,294Mi,nano,37.3,315.476417541504
1721411857.64063,500m,359m,1000Mi,294Mi,nano,37.3,327.743291854858
1721411860.714,500m,359m,1000Mi,294Mi,nano,37.3,419.399499893189
1721411863.7568,500m,359m,1000Mi,294Mi,nano,37.3,428.164482116699
1721411866.79248,500m,391m,1000Mi,295Mi,nano,37.3,348.702669143677
1721411869.83207,500m,391m,1000Mi,295Mi,nano,37.3,298.914909362793
1721411872.88196,500m,391m,1000Mi,295Mi,nano,37.3,316.243886947632
1721411875.93052,500m,391m,1000Mi,295Mi,nano,37.3,313.657999038696
1721411878.97733,500m,391m,1000Mi,295Mi,nano,37.3,303.560972213745
1721411882.02847,500m,391m,1000Mi,295Mi,nano,37.3,355.887413024902
1721411885.07877,500m,391m,1000Mi,295Mi,nano,37.3,356.980800628662
1721411888.12518,500m,391m,1000Mi,295Mi,nano,37.3,394.464015960693
1721411891.22653,500m,391m,1000Mi,295Mi,nano,37.3,351.221561431885
1721411894.27556,500m,286m,1000Mi,297Mi,nano,37.3,419.986724853516
1721411897.32714,500m,286m,1000Mi,297Mi,nano,37.3,360.023736953735
1721411900.36933,500m,286m,1000Mi,297Mi,nano,37.3,408.633232116699
1721411903.41131,500m,286m,1000Mi,297Mi,nano,37.3,376.873254776001
1721411906.45839,500m,286m,1000Mi,297Mi,nano,37.3,305.346727371216
1721411909.51524,500m,286m,1000Mi,297Mi,nano,37.3,351.128101348877
1721411912.5518,500m,286m,1000Mi,297Mi,nano,37.3,323.807239532471
1721411915.59349,500m,286m,1000Mi,297Mi,nano,37.3,363.581418991089
1721411918.63363,500m,286m,1000Mi,297Mi,nano,37.3,415.02571105957
1721411921.70157,500m,286m,1000Mi,297Mi,nano,37.3,404.892206192017
1721411924.74952,500m,409m,1000Mi,296Mi,nano,37.3,360.349416732788
1721411927.79559,500m,409m,1000Mi,296Mi,nano,37.3,347.745418548584
1721411930.84368,500m,409m,1000Mi,296Mi,nano,37.3,348.956108093262
1721411933.89755,500m,409m,1000Mi,296Mi,nano,37.3,354.762315750122
1721411936.93872,500m,409m,1000Mi,296Mi,nano,37.3,352.46729850769
1721411939.98587,500m,409m,1000Mi,296Mi,nano,37.3,353.962898254395
1721411943.02813,500m,409m,1000Mi,296Mi,nano,37.3,382.561922073364
1721411946.13047,500m,409m,1000Mi,296Mi,nano,37.3,391.030550003052
1721411949.17735,500m,409m,1000Mi,296Mi,nano,37.3,317.55256652832
1721411952.21266,500m,409m,1000Mi,296Mi,nano,37.3,288.691759109497
1721411955.25666,500m,285m,1000Mi,294Mi,nano,37.3,347.372531890869
1721411958.30596,500m,285m,1000Mi,294Mi,nano,37.3,346.848726272583
1721411961.35676,500m,285m,1000Mi,294Mi,nano,37.3,296.127557754517
1721411964.39959,500m,285m,1000Mi,294Mi,nano,37.3,354.89296913147
1721411967.44826,500m,285m,1000Mi,294Mi,nano,37.3,352.37717628479
1721411970.49496,500m,285m,1000Mi,294Mi,nano,37.3,325.866460800171
1721411973.54034,500m,285m,1000Mi,294Mi,nano,37.3,298.221588134766
1721411976.57592,500m,285m,1000Mi,294Mi,nano,37.3,400.183439254761
1721411979.61677,500m,285m,1000Mi,294Mi,nano,37.3,353.548765182495
1721411982.66129,500m,285m,1000Mi,294Mi,nano,37.3,348.007202148437
1721411985.70736,500m,371m,1000Mi,295Mi,nano,37.3,404.438257217407
1721411988.75644,500m,371m,1000Mi,295Mi,nano,37.3,359.458208084106
1721411991.80277,500m,371m,1000Mi,295Mi,nano,37.3,360.726356506348
1721411994.85706,500m,371m,1000Mi,295Mi,nano,37.3,360.610485076904
1721411997.89878,500m,371m,1000Mi,295Mi,nano,37.3,392.4400806427
1721412000.93471,500m,371m,1000Mi,295Mi,nano,37.3,322.45922088623
1721412003.98094,500m,371m,1000Mi,295Mi,nano,37.3,339.292764663696
1721412007.04011,500m,371m,1000Mi,295Mi,nano,37.3,353.182077407837
1721412010.08638,500m,371m,1000Mi,295Mi,nano,37.3,366.128921508789
1721412013.17705,500m,371m,1000Mi,295Mi,nano,37.3,402.319431304932
1721412016.21706,500m,284m,1000Mi,290Mi,nano,37.3,357.115030288696
1721412019.28116,500m,284m,1000Mi,290Mi,nano,37.3,398.008108139038
1721412022.37656,500m,284m,1000Mi,290Mi,nano,37.3,371.685028076172
1721412025.65959,500m,284m,1000Mi,290Mi,nano,37.3,378.987073898315
1721412028.70718,500m,284m,1000Mi,290Mi,nano,37.3,364.042282104492
1721412031.75578,500m,284m,1000Mi,290Mi,nano,37.3,361.840724945068
1721412034.79891,500m,284m,1000Mi,290Mi,nano,37.3,309.352159500122
1721412037.84723,500m,284m,1000Mi,290Mi,nano,37.3,363.207340240479
1721412040.8861,500m,284m,1000Mi,290Mi,nano,37.3,344.687223434448
1721412043.93761,500m,284m,1000Mi,290Mi,nano,37.3,350.493907928467
1721412046.98328,500m,417m,1000Mi,282Mi,nano,37.3,349.66254234314
1721412050.02801,500m,417m,1000Mi,282Mi,nano,37.3,366.360187530518
1721412053.073,500m,417m,1000Mi,282Mi,nano,37.3,367.769956588745
1721412056.46157,500m,417m,1000Mi,282Mi,nano,37.3,306.956052780151
1721412059.5036,500m,417m,1000Mi,282Mi,nano,37.3,363.111019134521
1721412062.5787,500m,417m,1000Mi,282Mi,nano,37.3,353.547096252441
