time,cpu_request,memory_request,model,model_acc,processing_delay(s)
5.0,1731410383.097293,1500.0,500.0,1.0,44.9,0.42869997024536133
0.0,1731410383.7960718,500.0,500.0,0.0,37.3,0.3488912582397461
1.0,1731410384.3996468,1000.0,500.0,1.0,44.9,0.4007718563079834
2.0,1731410384.956527,1500.0,500.0,0.0,37.3,0.16570258140563965
3.0,1731410385.6731486,500.0,500.0,0.0,37.3,0.2941303253173828
4.0,1731410386.776665,1000.0,500.0,1.0,44.9,0.43765950202941895
5.0,1731410387.597939,1500.0,500.0,1.0,44.9,0.41434288024902344
0.0,1731410388.5009654,500.0,500.0,0.0,37.3,0.355999231338501
1.0,1731410389.6361942,1000.0,500.0,1.0,44.9,0.40265488624572754
2.0,1731410390.247249,1500.0,500.0,0.0,37.3,0.14268755912780762
3.0,1731410392.3189175,500.0,500.0,0.0,37.3,0.30248594284057617
4.0,1731410392.9282818,1000.0,500.0,1.0,44.9,0.42563819885253906
5.0,1731410394.0245328,1500.0,500.0,1.0,44.9,0.42533397674560547
0.0,1731410394.6420112,500.0,500.0,0.0,37.3,0.38521909713745117
1.0,1731410395.2611659,1000.0,500.0,1.0,44.9,0.4056680202484131
2.0,1731410395.893833,1500.0,500.0,0.0,37.3,0.15036964416503906
3.0,1731410396.4770136,500.0,500.0,0.0,37.3,0.34154653549194336
4.0,1731410397.3101523,1000.0,500.0,1.0,44.9,0.4323158264160156
5.0,1731410398.3400142,1500.0,500.0,1.0,44.9,0.4255836009979248
0.0,1731410399.236434,500.0,500.0,0.0,37.3,0.3132328987121582
1.0,1731410400.3688104,1000.0,500.0,1.0,44.9,0.4041304588317871
2.0,1731410401.0676067,1500.0,500.0,0.0,37.3,0.14156103134155273
3.0,1731410402.1427653,500.0,500.0,0.0,37.3,0.3596792221069336
4.0,1731410403.063973,1000.0,500.0,1.0,44.9,0.42841267585754395
5.0,1731410403.8633199,1500.0,500.0,1.0,44.9,0.42669677734375
0.0,1731410404.8044004,500.0,500.0,0.0,37.3,0.3542447090148926
1.0,1731410405.8469362,1000.0,500.0,1.0,44.9,0.3989682197570801
2.0,1731410406.219401,1500.0,500.0,0.0,37.3,0.17250871658325195
3.0,1731410407.2297575,500.0,500.0,0.0,37.3,0.393787145614624
4.0,1731410408.2990677,1000.0,500.0,1.0,44.9,0.43032073974609375
5.0,1731410409.0015023,1500.0,500.0,1.0,44.9,0.4192202091217041
0.0,1731410409.5859387,500.0,500.0,0.0,37.3,0.3357532024383545
1.0,1731410410.3344088,1000.0,500.0,1.0,44.9,0.39584946632385254
2.0,1731410410.92222,1500.0,500.0,0.0,37.3,0.15485286712646484
3.0,1731410411.8531046,500.0,500.0,0.0,37.3,0.3980286121368408
4.0,1731410412.5714133,1000.0,500.0,1.0,44.9,0.44242048263549805
5.0,1731410413.322807,1500.0,500.0,1.0,44.9,0.42517805099487305
0.0,1731410414.344213,500.0,500.0,0.0,37.3,0.31488704681396484
1.0,1731410415.2444046,1000.0,500.0,1.0,44.9,0.4072749614715576
2.0,1731410415.8426397,1500.0,500.0,0.0,37.3,0.14616966247558594
3.0,1731410416.9013638,500.0,500.0,0.0,37.3,0.3069417476654053
4.0,1731410417.6933153,1000.0,500.0,1.0,44.9,0.42908143997192383
5.0,1731410418.6033375,1500.0,500.0,1.0,44.9,0.41785454750061035
0.0,1731410419.441616,500.0,500.0,0.0,37.3,0.35486936569213867
1.0,1731410420.141514,1000.0,500.0,1.0,44.9,0.3981313705444336
2.0,1731410420.5434475,1500.0,500.0,0.0,37.3,0.1439821720123291
3.0,1731410421.1485515,500.0,500.0,0.0,37.3,0.3796103000640869
4.0,1731410422.3332715,1000.0,500.0,1.0,44.9,0.4357016086578369
5.0,1731410422.9955792,1500.0,500.0,1.0,44.9,0.42535400390625
0.0,1731410424.2392087,500.0,500.0,0.0,37.3,0.3466525077819824
1.0,1731410425.1913137,1000.0,500.0,1.0,44.9,0.4060497283935547
2.0,1731410425.7812724,1500.0,500.0,0.0,37.3,0.14901089668273926
3.0,1731410426.7234766,500.0,500.0,0.0,37.3,0.34772419929504395
4.0,1731410427.616867,1000.0,500.0,1.0,44.9,0.4323089122772217
5.0,1731410428.386636,1500.0,500.0,1.0,44.9,0.4277951717376709
0.0,1731410429.1435513,500.0,500.0,0.0,37.3,0.3509950637817383
1.0,1731410429.7867825,1000.0,500.0,1.0,44.9,0.39640307426452637
2.0,1731410430.2687554,1500.0,500.0,0.0,37.3,0.14067935943603516
3.0,1731410431.0995002,500.0,500.0,0.0,37.3,0.36006760597229004
4.0,1731410431.8443577,1000.0,500.0,1.0,44.9,0.4331629276275635
5.0,1731410432.6251185,1500.0,500.0,1.0,44.9,0.4205057621002197
0.0,1731410433.7547014,500.0,500.0,0.0,37.3,0.3911299705505371
1.0,1731410434.5692532,1000.0,500.0,1.0,44.9,0.39442896842956543
2.0,1731410435.0869975,1500.0,500.0,0.0,37.3,0.13794255256652832
3.0,1731410436.2081058,500.0,500.0,0.0,37.3,0.3459646701812744
4.0,1731410437.0475419,1000.0,500.0,1.0,44.9,0.4358072280883789
5.0,1731410437.9606647,1500.0,500.0,1.0,44.9,0.41411495208740234
0.0,1731410533.418562,500.0,500.0,0.0,37.3,0.3496708869934082
1.0,1731410534.3449218,1000.0,500.0,1.0,44.9,0.41611695289611816
2.0,1731410534.759259,1500.0,500.0,0.0,37.3,0.16772699356079102
3.0,1731410535.499051,500.0,500.0,0.0,37.3,0.29857802391052246
4.0,1731410536.2607274,1000.0,500.0,1.0,44.9,0.44438648223876953
5.0,1731410537.1876476,1500.0,500.0,1.0,44.9,0.43117213249206543
0.0,1731410538.2179267,500.0,500.0,0.0,37.3,0.3475933074951172
1.0,1731410539.018601,1000.0,500.0,1.0,44.9,0.3974628448486328
2.0,1731410539.671226,1500.0,500.0,0.0,37.3,0.17613816261291504
3.0,1731410540.7148092,500.0,500.0,0.0,37.3,0.35242724418640137
4.0,1731410541.7911594,1000.0,500.0,1.0,44.9,0.43723273277282715
5.0,1731410542.7196941,1500.0,500.0,1.0,44.9,0.42893385887145996
0.0,1731410543.4794781,500.0,500.0,0.0,37.3,0.39818882942199707
1.0,1731410544.1572409,1000.0,500.0,1.0,44.9,0.40310168266296387
2.0,1731410544.7022336,1500.0,500.0,0.0,37.3,0.17142343521118164
3.0,1731410545.367401,500.0,500.0,0.0,37.3,0.3512542247772217
4.0,1731410546.2243025,1000.0,500.0,1.0,44.9,0.43152546882629395
5.0,1731410546.9875822,1500.0,500.0,1.0,44.9,0.41687822341918945
0.0,1731410547.8471842,500.0,500.0,0.0,37.3,0.3499174118041992
1.0,1731410549.1993854,1000.0,500.0,1.0,44.9,0.39441800117492676
2.0,1731410549.6722772,1500.0,500.0,0.0,37.3,0.14332008361816406
3.0,1731410550.497813,500.0,500.0,0.0,37.3,0.3485138416290283
4.0,1731410551.420191,1000.0,500.0,1.0,44.9,0.43417835235595703
5.0,1731410552.2322917,1500.0,500.0,1.0,44.9,0.41657161712646484
0.0,1731410552.9962435,500.0,500.0,0.0,37.3,0.30590081214904785
1.0,1731410553.5875068,1000.0,500.0,1.0,44.9,0.3955841064453125
2.0,1731410554.0583262,1500.0,500.0,0.0,37.3,0.1697220802307129
3.0,1731410554.810864,500.0,500.0,0.0,37.3,0.3522450923919678
4.0,1731410555.703298,1000.0,500.0,1.0,44.9,0.423429012298584
5.0,1731410556.3343852,1500.0,500.0,1.0,44.9,0.3942868709564209
0.0,1731410557.5812206,500.0,500.0,0.0,37.3,0.30701375007629395
1.0,1731410558.3876007,1000.0,500.0,1.0,44.9,0.3937559127807617
2.0,1731410558.9920824,1500.0,500.0,0.0,37.3,0.15424060821533203
3.0,1731410560.0293593,500.0,500.0,0.0,37.3,0.34871649742126465
4.0,1731410560.8481495,1000.0,500.0,1.0,44.9,0.426790714263916
5.0,1731410561.7612329,1500.0,500.0,1.0,44.9,0.41559720039367676
0.0,1731410562.455803,500.0,500.0,0.0,37.3,0.2970774173736572
1.0,1731410563.0856092,1000.0,500.0,1.0,44.9,0.3984842300415039
2.0,1731410563.5760891,1500.0,500.0,0.0,37.3,0.16939973831176758
3.0,1731410564.2188504,500.0,500.0,0.0,37.3,0.3492090702056885
4.0,1731410565.1501365,1000.0,500.0,1.0,44.9,0.43630123138427734
5.0,1731410565.9653535,1500.0,500.0,1.0,44.9,0.41871023178100586
0.0,1731410566.7813966,500.0,500.0,0.0,37.3,0.3571183681488037
1.0,1731410567.603907,1000.0,500.0,1.0,44.9,0.39487671852111816
2.0,1731410568.2309155,1500.0,500.0,0.0,37.3,0.14863181114196777
3.0,1731410569.135954,500.0,500.0,0.0,37.3,0.37853240966796875
4.0,1731410569.949447,1000.0,500.0,1.0,44.9,0.4369957447052002
