time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721418453.64116,1500m,604m,1000Mi,278Mi,nano,37.3,204.395294189453
1721418456.68089,1500m,604m,1000Mi,278Mi,nano,37.3,221.682071685791
1721418459.7836,1500m,604m,1000Mi,278Mi,nano,37.3,203.397989273071
1721418462.81951,1500m,604m,1000Mi,278Mi,nano,37.3,201.146125793457
1721418465.86376,1500m,430m,1000Mi,288Mi,nano,37.3,201.149940490723
1721418468.96452,1500m,430m,1000Mi,288Mi,nano,37.3,201.51424407959
1721418472.01438,1500m,430m,1000Mi,288Mi,nano,37.3,200.818061828613
1721418475.06167,1500m,430m,1000Mi,288Mi,nano,37.3,210.750341415405
1721418478.10721,1500m,430m,1000Mi,288Mi,nano,37.3,199.535608291626
1721418481.14645,1500m,430m,1000Mi,288Mi,nano,37.3,200.422763824463
1721418484.19662,1500m,430m,1000Mi,288Mi,nano,37.3,202.545404434204
1721418487.24114,1500m,430m,1000Mi,288Mi,nano,37.3,204.531908035278
1721418490.28571,1500m,430m,1000Mi,288Mi,nano,37.3,204.579830169678
1721418493.32831,1500m,430m,1000Mi,288Mi,nano,37.3,210.708379745483
1721418496.37977,1500m,388m,1000Mi,272Mi,nano,37.3,205.053806304932
1721418499.41884,1500m,388m,1000Mi,272Mi,nano,37.3,204.893589019775
1721418502.46193,1500m,388m,1000Mi,272Mi,nano,37.3,200.539112091064
1721418505.5282,1500m,388m,1000Mi,272Mi,nano,37.3,204.607725143433
1721418508.57357,1500m,388m,1000Mi,272Mi,nano,37.3,200.222015380859
1721418511.61336,1500m,388m,1000Mi,272Mi,nano,37.3,200.867414474487
1721418514.65725,1500m,388m,1000Mi,272Mi,nano,37.3,200.1633644104
1721418517.69308,1500m,388m,1000Mi,272Mi,nano,37.3,201.649188995361
1721418520.74421,1500m,388m,1000Mi,272Mi,nano,37.3,199.941873550415
1721418523.79349,1500m,388m,1000Mi,272Mi,nano,37.3,200.263977050781
1721418526.83717,1500m,415m,1000Mi,285Mi,nano,37.3,204.954385757446
1721418529.87455,1500m,415m,1000Mi,285Mi,nano,37.3,199.024200439453
1721418532.96459,1500m,415m,1000Mi,285Mi,nano,37.3,217.60106086731
1721418536.01453,1500m,415m,1000Mi,285Mi,nano,37.3,199.64861869812
1721418539.06185,1500m,415m,1000Mi,285Mi,nano,37.3,200.690031051636
1721418542.11162,1500m,415m,1000Mi,285Mi,nano,37.3,203.004837036133
1721418545.16436,1500m,415m,1000Mi,285Mi,nano,37.3,202.869176864624
1721418548.20843,1500m,415m,1000Mi,285Mi,nano,37.3,217.97513961792
